ark,doctype,period,date,title,source
bpt6k990549b,imprime,1450-1600,,imprimé 16e (Gallicorpora),Gallicorpora/HTR-imprime-16e-siecle
bpt6k1521180m,imprime,1450-1600,,imprimé 16e (FoNDUE),FoNDUE-HTR/FONDUE-FR-PRINT-16
bpt6k15272172,imprime,1450-1600,,imprimé 16e (FoNDUE),FoNDUE-HTR/FONDUE-FR-PRINT-16
bpt6k3182270,imprime,1450-1600,,imprimé 16e (FoNDUE),FoNDUE-HTR/FONDUE-FR-PRINT-16
bpt6k706947,imprime,1450-1600,,imprimé 16e (FoNDUE),FoNDUE-HTR/FONDUE-FR-PRINT-16
bpt6k8711906g,imprime,1450-1600,,imprimé 16e (FoNDUE),FoNDUE-HTR/FONDUE-FR-PRINT-16
btv1b86095588,imprime,1450-1600,,imprimé 16e (FoNDUE),FoNDUE-HTR/FONDUE-FR-PRINT-16
btv1b8609568n,imprime,1450-1600,,imprimé 16e (FoNDUE),FoNDUE-HTR/FONDUE-FR-PRINT-16
btv1b8609581h,imprime,1450-1600,,imprimé 16e (FoNDUE),FoNDUE-HTR/FONDUE-FR-PRINT-16
btv1b8617188p,imprime,1450-1600,,imprimé 16e (FoNDUE),FoNDUE-HTR/FONDUE-FR-PRINT-16
bpt6k1110784,imprime,1600-1820,,imprimé 17e (Gallicorpora),Gallicorpora/HTR-imprime-17e-siecle
bpt6k111525t,imprime,1600-1820,,imprimé 17e (Gallicorpora),Gallicorpora/HTR-imprime-17e-siecle
bpt6k1512176r,imprime,1600-1820,,imprimé 17e (Gallicorpora),Gallicorpora/HTR-imprime-17e-siecle
bpt6k1513919s,imprime,1600-1820,,imprimé 17e (Gallicorpora),Gallicorpora/HTR-imprime-17e-siecle
bpt6k15201149,imprime,1600-1820,,imprimé 17e (Gallicorpora),Gallicorpora/HTR-imprime-17e-siecle
bpt6k56119308,imprime,1600-1820,,imprimé 17e (Gallicorpora),Gallicorpora/HTR-imprime-17e-siecle
bpt6k6127905,imprime,1600-1820,,imprimé 17e (Gallicorpora),Gallicorpora/HTR-imprime-17e-siecle
bpt6k6258473t,imprime,1600-1820,,imprimé 17e (Gallicorpora),Gallicorpora/HTR-imprime-17e-siecle
bpt6k6424218b,imprime,1600-1820,,imprimé 17e (Gallicorpora),Gallicorpora/HTR-imprime-17e-siecle
bpt6k6509381p,imprime,1600-1820,,imprimé 17e (Gallicorpora),Gallicorpora/HTR-imprime-17e-siecle
bpt6k6551882q,imprime,1600-1820,,imprimé 17e (Gallicorpora),Gallicorpora/HTR-imprime-17e-siecle
bpt6k715032,imprime,1600-1820,,imprimé 17e (Gallicorpora),Gallicorpora/HTR-imprime-17e-siecle
bpt6k72266c,imprime,1600-1820,,imprimé 17e (Gallicorpora),Gallicorpora/HTR-imprime-17e-siecle
bpt6k72609n,imprime,1600-1820,,imprimé 17e (Gallicorpora),Gallicorpora/HTR-imprime-17e-siecle
bpt6k831536,imprime,1600-1820,,imprimé 17e (Gallicorpora),Gallicorpora/HTR-imprime-17e-siecle
btv1b8610802d,imprime,1600-1820,,imprimé 17e (Gallicorpora),Gallicorpora/HTR-imprime-17e-siecle
btv1b8626243d,imprime,1600-1820,,imprimé 17e (Gallicorpora),Gallicorpora/HTR-imprime-17e-siecle
bpt6k10403751,imprime,1600-1820,,imprimé 17e (OCR17+),Heresta/OCR17plus
bpt6k1090186h,imprime,1600-1820,,imprimé 17e (OCR17+),Heresta/OCR17plus
bpt6k1280251v,imprime,1600-1820,,imprimé 17e (OCR17+),Heresta/OCR17plus
bpt6k1511072f,imprime,1600-1820,,imprimé 17e (OCR17+),Heresta/OCR17plus
bpt6k73945k,imprime,1600-1820,,imprimé 17e (OCR17+),Heresta/OCR17plus
bpt6k857200c,imprime,1600-1820,,imprimé 17e (OCR17+),Heresta/OCR17plus
bpt6k990581p,imprime,1600-1820,,imprimé 17e (OCR17+),Heresta/OCR17plus
btv1b86069594,imprime,1600-1820,,imprimé 17e (OCR17+),Heresta/OCR17plus
btv1b86070385,imprime,1600-1820,,imprimé 17e (OCR17+),Heresta/OCR17plus
btv1b8607044w,imprime,1600-1820,,imprimé 17e (OCR17+),Heresta/OCR17plus
btv1b8610820b,imprime,1600-1820,,imprimé 17e (OCR17+),Heresta/OCR17plus
btv1b86262420,imprime,1600-1820,,imprimé 17e (OCR17+),Heresta/OCR17plus
bpt6k1281160s,imprime,1600-1820,,imprimé 18e (Gallicorpora),Gallicorpora/HTR-imprime-18e-siecle
bpt6k15120824,imprime,1600-1820,,imprimé 18e (Gallicorpora),Gallicorpora/HTR-imprime-18e-siecle
bpt6k15204009,imprime,1600-1820,,imprimé 18e (Gallicorpora),Gallicorpora/HTR-imprime-18e-siecle
bpt6k6495917k,imprime,1600-1820,,imprimé 18e (Gallicorpora),Gallicorpora/HTR-imprime-18e-siecle
bpt6k70173w,imprime,1600-1820,,imprimé 18e (Gallicorpora),Gallicorpora/HTR-imprime-18e-siecle
bpt6k822192,imprime,1600-1820,,imprimé 18e (Gallicorpora),Gallicorpora/HTR-imprime-18e-siecle
btv1b8613380t,imprime,1600-1820,,imprimé 18e (Gallicorpora),Gallicorpora/HTR-imprime-18e-siecle
btv1b86146004,imprime,1600-1820,,imprimé 18e (Gallicorpora),Gallicorpora/HTR-imprime-18e-siecle
btv1b10010002v,tapuscrit,1881-1945,,tapuscrit 20e (HTR-United),HTR-United/tapuscorpus
btv1b100100090,tapuscrit,1881-1945,,tapuscrit 20e (HTR-United),HTR-United/tapuscorpus
btv1b10010116f,tapuscrit,1881-1945,,tapuscrit 20e (HTR-United),HTR-United/tapuscorpus
btv1b10010130k,tapuscrit,1881-1945,,tapuscrit 20e (HTR-United),HTR-United/tapuscorpus
btv1b10010277r,tapuscrit,1881-1945,,tapuscrit 20e (HTR-United),HTR-United/tapuscorpus
btv1b10010288m,tapuscrit,1881-1945,,tapuscrit 20e (HTR-United),HTR-United/tapuscorpus
btv1b10515727p,tapuscrit,1881-1945,,tapuscrit 20e (HTR-United),HTR-United/tapuscorpus
btv1b10515736n,tapuscrit,1881-1945,,tapuscrit 20e (HTR-United),HTR-United/tapuscorpus
btv1b10581912k,tapuscrit,1881-1945,,tapuscrit 20e (HTR-United),HTR-United/tapuscorpus
btv1b10583038c,tapuscrit,1881-1945,,tapuscrit 20e (HTR-United),HTR-United/tapuscorpus
btv1b10583138r,tapuscrit,1881-1945,,tapuscrit 20e (HTR-United),HTR-United/tapuscorpus
btv1b52502601r,tapuscrit,1881-1945,,tapuscrit 20e (HTR-United),HTR-United/tapuscorpus
btv1b525035025,tapuscrit,1881-1945,,tapuscrit 20e (HTR-United),HTR-United/tapuscorpus
btv1b525035042,tapuscrit,1881-1945,,tapuscrit 20e (HTR-United),HTR-United/tapuscorpus
btv1b52503505h,tapuscrit,1881-1945,,tapuscrit 20e (HTR-United),HTR-United/tapuscorpus
btv1b525035811,tapuscrit,1881-1945,,tapuscrit 20e (HTR-United),HTR-United/tapuscorpus
btv1b52503582g,tapuscrit,1881-1945,,tapuscrit 20e (HTR-United),HTR-United/tapuscorpus
btv1b525038904,tapuscrit,1881-1945,,tapuscrit 20e (HTR-United),HTR-United/tapuscorpus
btv1b52503896t,tapuscrit,1881-1945,,tapuscrit 20e (HTR-United),HTR-United/tapuscorpus
btv1b52505123m,tapuscrit,1881-1945,,tapuscrit 20e (HTR-United),HTR-United/tapuscorpus
btv1b52505126z,tapuscrit,1881-1945,,tapuscrit 20e (HTR-United),HTR-United/tapuscorpus
btv1b525062185,tapuscrit,1881-1945,,tapuscrit 20e (HTR-United),HTR-United/tapuscorpus
btv1b530484089,tapuscrit,1881-1945,,tapuscrit 20e (HTR-United),HTR-United/tapuscorpus
btv1b530544928,tapuscrit,1881-1945,,tapuscrit 20e (HTR-United),HTR-United/tapuscorpus
btv1b530873615,tapuscrit,1881-1945,,tapuscrit 20e (HTR-United),HTR-United/tapuscorpus
btv1b530924453,tapuscrit,1881-1945,,tapuscrit 20e (HTR-United),HTR-United/tapuscorpus
btv1b53097347b,tapuscrit,1881-1945,,tapuscrit 20e (HTR-United),HTR-United/tapuscorpus
btv1b53157893j,tapuscrit,1881-1945,,tapuscrit 20e (HTR-United),HTR-United/tapuscorpus
btv1b6000003x,tapuscrit,1881-1945,,tapuscrit 20e (HTR-United),HTR-United/tapuscorpus
btv1b90802629,tapuscrit,1881-1945,,tapuscrit 20e (HTR-United),HTR-United/tapuscorpus
btv1b90803098,tapuscrit,1881-1945,,tapuscrit 20e (HTR-United),HTR-United/tapuscorpus
